Medicamento,Unidade,Acerto Geral,Contagem 4 semanas (Calc),Contagem 4 semanas (Gab),Contagem 4 semanas (Dif),Contagem 4 semanas (Status),Contagem 8 semanas (Calc),Contagem 8 semanas (Gab),Contagem 8 semanas (Dif),Contagem 8 semanas (Status),Contagem 12 semanas (Calc),Contagem 12 semanas (Gab),Contagem 12 semanas (Dif),Contagem 12 semanas (Status),Contagem 16 semanas (Calc),Contagem 16 semanas (Gab),Contagem 16 semanas (Dif),Contagem 16 semanas (Status),Contagem 26 semanas (Calc),Contagem 26 semanas (Gab),Contagem 26 semanas (Dif),Contagem 26 semanas (Status),Contagem 52 semanas (Calc),Contagem 52 semanas (Gab),Contagem 52 semanas (Dif),Contagem 52 semanas (Status),Contagem ano (Calc),Contagem ano (Gab),Contagem ano (Dif),Contagem ano (Status),Contagem total (Calc),Contagem total (Gab),Contagem total (Dif),Contagem total (Status),Máximo (Calc),Máximo (Gab),Máximo (Dif),Máximo (Status),Mediana 4 semanas (Calc),Mediana 4 semanas (Gab),Mediana 4 semanas (Dif),Mediana 4 semanas (Status),Mediana 8 semanas (Calc),Mediana 8 semanas (Gab),Mediana 8 semanas (Dif),Mediana 8 semanas (Status),Mediana 12 semanas (Calc),Mediana 12 semanas (Gab),Mediana 12 semanas (Dif),Mediana 12 semanas (Status),Mediana 16 semanas (Calc),Mediana 16 semanas (Gab),Mediana 16 semanas (Dif),Mediana 16 semanas (Status),Mediana 26 semanas (Calc),Mediana 26 semanas (Gab),Mediana 26 semanas (Dif),Mediana 26 semanas (Status),Mediana 52 semanas (Calc),Mediana 52 semanas (Gab),Mediana 52 semanas (Dif),Mediana 52 semanas (Status),Mediana ano (Calc),Mediana ano (Gab),Mediana ano (Dif),Mediana ano (Status),Mediana total (Calc),Mediana total (Gab),Mediana total (Dif),Mediana total (Status),Tipo método (Calc),Tipo método (Gab),Tipo método (Dif),Tipo método (Status),Método (Calc),Método (Gab),Método (Dif),Método (Status),MetEst (Calc),MetEst (Gab),MetEst (Dif),MetEst (Status),Reposição (Calc),Reposição (Gab),Reposição (Dif),Reposição (Status),Total Geral (Calc),Total Geral (Gab),Total Geral (Dif),Total Geral (Status)
"PARACETAMOL 750 MG","CAF",95.65,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","89","89","","correto","370","370","","correto","90","90","","correto","90","90","","correto","105","105","","correto","105","105","","correto","110","110","","correto","120","120","","correto","110","110","","correto","110","110","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","120","120","","correto","1920","1920","","correto","-2010","0","-2010","incorreto","10769","10769","","correto",
"BUSCOPAM COMPOSTO  GOTAS","CAF",91.30,"0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","14","13","1","incorreto","0","0","","correto","51","51","","correto","23","23","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","6","7","-1","incorreto","0","0","","correto","6","6","","correto","3.INATIVOS","3.INATIVOS","","correto","0","0","","correto","0","0","","correto","0","0","","correto","327","327","","correto",
"BUSCOPAM SIMPLES CP","CAF",47.83,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","21","22","-1","incorreto","85","86","-1","incorreto","520","520","","correto","70","60","10","incorreto","80","80","","correto","108","88","20","incorreto","108","98","10","incorreto","118","108","10","incorreto","83","83","","correto","101","98","3","incorreto","95","93","2","incorreto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","118","108","10","incorreto","1888","1728","160","incorreto","-312","0","-312","incorreto","9099","9159","-60","incorreto",
"RIFOCINA SPRAY","CAF",82.61,"4","4","","correto","7","7","","correto","9","9","","correto","12","12","","correto","20","20","","correto","40","40","","correto","17","17","","correto","71","71","","correto","11","11","","correto","2","2","","correto","1","1","","correto","1","1","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","3","2","1","incorreto","33","32","1","incorreto","-11","0","-11","incorreto","197","197","","correto",
"LEVOMEPROMAZINA 25MG","CAF",78.26,"2","2","","correto","5","5","","correto","7","7","","correto","11","11","","correto","15","15","","correto","29","29","","correto","12","12","","correto","50","50","","correto","180","180","","correto","90","90","","correto","60","60","","correto","60","60","","correto","30","30","","correto","60","60","","correto","50","50","","correto","45","45","","correto","60","60","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","60","90","-30","incorreto","540","1440","-900","incorreto","540","690","-150","incorreto","3170","3170","","correto",
"GENTAMICINA 80 MG INJ- AMPOLA","CAF",86.96,"0","0","","correto","0","0","","correto","0","0","","correto","1","1","","correto","3","3","","correto","8","8","","correto","2","2","","correto","13","13","","correto","100","100","","correto","0","0","","correto","0","0","","correto","0","0","","correto","30","30","","correto","30","30","","correto","30","30","","correto","25","25","","correto","30","30","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","9","10","-1","incorreto","300","300","","correto","300","0","300","incorreto","505","505","","correto",
"NORFLOXACINO 400MG","CAF",91.30,"1","1","","correto","2","2","","correto","4","4","","correto","4","4","","correto","8","8","","correto","18","18","","correto","6","6","","correto","36","36","","correto","70","70","","correto","14","14","","correto","42","42","","correto","49","49","","correto","49","49","","correto","21","21","","correto","27","27","","correto","35","35","","correto","28","28","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","19","19","","correto","210","210","","correto","98","0","98","incorreto","994","994","","correto",
"ESOMEPRAZOL 40MG","CAF",95.65,"1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","28","28","","correto","28","28","","correto","28","28","","correto","28","28","","correto","28","28","","correto","28","28","","correto","28","28","","correto","28","28","","correto","28","28","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","1","-1","incorreto","84","84","","correto","84","84","","correto","28","28","","correto",
"PREDNISONA 5 MG - CP","CAF",78.26,"3","3","","correto","7","7","","correto","11","11","","correto","13","13","","correto","22","22","","correto","40","40","","correto","18","18","","correto","72","72","","correto","480","480","","correto","40","40","","correto","80","80","","correto","60","60","","correto","60","60","","correto","55","55","","correto","60","60","","correto","55","55","","correto","80","80","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","117","80","37","incorreto","1440","1280","160","incorreto","400","0","400","incorreto","6120","6120","","correto",
"TESTE RAPIDO DE GRAVIDEZ","CAF",91.30,"3","3","","correto","7","7","","correto","11","11","","correto","15","15","","correto","24","24","","correto","48","48","","correto","21","21","","correto","74","74","","correto","24","24","","correto","3","3","","correto","4","4","","correto","5","5","","correto","5","5","","correto","4","4","","correto","4","4","","correto","4","4","","correto","4","4","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","5","5","","correto","80","80","","correto","8","0","8","incorreto","372","372","","correto",
