Medicamento,Unidade,Acerto Geral,Contagem 4 semanas (Calc),Contagem 4 semanas (Gab),Contagem 4 semanas (Dif),Contagem 4 semanas (Status),Contagem 8 semanas (Calc),Contagem 8 semanas (Gab),Contagem 8 semanas (Dif),Contagem 8 semanas (Status),Contagem 12 semanas (Calc),Contagem 12 semanas (Gab),Contagem 12 semanas (Dif),Contagem 12 semanas (Status),Contagem 16 semanas (Calc),Contagem 16 semanas (Gab),Contagem 16 semanas (Dif),Contagem 16 semanas (Status),Contagem 26 semanas (Calc),Contagem 26 semanas (Gab),Contagem 26 semanas (Dif),Contagem 26 semanas (Status),Contagem 52 semanas (Calc),Contagem 52 semanas (Gab),Contagem 52 semanas (Dif),Contagem 52 semanas (Status),Contagem ano (Calc),Contagem ano (Gab),Contagem ano (Dif),Contagem ano (Status),Contagem total (Calc),Contagem total (Gab),Contagem total (Dif),Contagem total (Status),Máximo (Calc),Máximo (Gab),Máximo (Dif),Máximo (Status),Mediana 4 semanas (Calc),Mediana 4 semanas (Gab),Mediana 4 semanas (Dif),Mediana 4 semanas (Status),Mediana 8 semanas (Calc),Mediana 8 semanas (Gab),Mediana 8 semanas (Dif),Mediana 8 semanas (Status),Mediana 12 semanas (Calc),Mediana 12 semanas (Gab),Mediana 12 semanas (Dif),Mediana 12 semanas (Status),Mediana 16 semanas (Calc),Mediana 16 semanas (Gab),Mediana 16 semanas (Dif),Mediana 16 semanas (Status),Mediana 26 semanas (Calc),Mediana 26 semanas (Gab),Mediana 26 semanas (Dif),Mediana 26 semanas (Status),Mediana 52 semanas (Calc),Mediana 52 semanas (Gab),Mediana 52 semanas (Dif),Mediana 52 semanas (Status),Mediana ano (Calc),Mediana ano (Gab),Mediana ano (Dif),Mediana ano (Status),Mediana total (Calc),Mediana total (Gab),Mediana total (Dif),Mediana total (Status),Tipo método (Calc),Tipo método (Gab),Tipo método (Dif),Tipo método (Status),Método (Calc),Método (Gab),Método (Dif),Método (Status),MetEst (Calc),MetEst (Gab),MetEst (Dif),MetEst (Status),Reposição (Calc),Reposição (Gab),Reposição (Dif),Reposição (Status),Total Geral (Calc),Total Geral (Gab),Total Geral (Dif),Total Geral (Status)
"HIDROCLOROTIAZIADA 25MG","ESF3",86.96,"0","0","","correto","1","1","","correto","2","2","","correto","2","2","","correto","6","6","","correto","15","15","","correto","4","4","","correto","15","15","","correto","80","80","","correto","0","0","","correto","40","40","","correto","40","40","","correto","40","40","","correto","40","40","","correto","40","40","","correto","40","40","","correto","40","40","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","13","14","-1","incorreto","80","80","","correto","80","0","80","incorreto","680","680","","correto",
"CETOCONAZOL 200 MG","ESF3",95.65,"0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","1","1","","correto","3","3","","correto","0","0","","correto","3","3","","correto","30","30","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","20","20","","correto","20","20","","correto","0","0","","correto","20","20","","correto","3.INATIVOS","3.INATIVOS","","correto","0","0","","correto","0","0","","correto","-100","0","-100","incorreto","70","70","","correto",
"NORFLOXACINO 400MG","ESF3",91.30,"0","0","","correto","0","0","","correto","1","1","","correto","1","1","","correto","3","3","","correto","6","6","","correto","3","3","","correto","6","6","","correto","42","42","","correto","0","0","","correto","0","0","","correto","42","42","","correto","42","42","","correto","28","28","","correto","14","14","","correto","28","28","","correto","14","14","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","2","2","","correto","42","42","","correto","42","0","42","incorreto","114","114","","correto",
"INSULINA HUMANA REGULAR 100 UI/ ML - FRASCO 10 ML","ESF3",91.30,"1","1","","correto","2","2","","correto","3","3","","correto","3","3","","correto","5","5","","correto","6","6","","correto","4","4","","correto","6","6","","correto","2","2","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","0","","correto","2","2","","correto","2","0","2","incorreto","8","8","","correto",
"BROMOPRIDA GTS","ESF3",86.96,"0","0","","correto","3","3","","correto","5","5","","correto","8","8","","correto","13","13","","correto","21","21","","correto","10","10","","correto","21","21","","correto","3","3","","correto","0","0","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","1","-1","incorreto","3","3","","correto","3","0","3","incorreto","33","33","","correto",
"METRONIDAZOL 40 MG/ML -  SUSPENSÃO ORAL","ESF3",91.30,"0","0","","correto","0","0","","correto","1","1","","correto","1","1","","correto","1","1","","correto","2","2","","correto","1","1","","correto","2","2","","correto","2","2","","correto","0","0","","correto","0","0","","correto","1","1","","correto","1","1","","correto","1","1","","correto","2","2","","correto","1","1","","correto","2","2","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","0","","correto","2","2","","correto","2","0","2","incorreto","3","3","","correto",
"NISTATINA POMADA VAG.","ESF3",91.30,"3","3","","correto","6","6","","correto","9","9","","correto","9","9","","correto","14","14","","correto","22","22","","correto","11","11","","correto","22","22","","correto","4","4","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","1","-1","incorreto","4","4","","correto","-1","0","-1","incorreto","45","45","","correto",
"DOXAZOSINA MESILATO 4MG","ESF3",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","14","14","","correto","22","22","","correto","32","32","","correto","19","19","","correto","32","32","","correto","240","240","","correto","60","60","","correto","45","45","","correto","60","60","","correto","60","60","","correto","45","45","","correto","45","45","","correto","60","60","","correto","45","45","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","36","60","-24","incorreto","240","240","","correto","30","30","","correto","1890","1890","","correto",
"LOPERAMIDA 2 MG","ESF3",86.96,"1","1","","correto","1","1","","correto","2","2","","correto","3","3","","correto","6","6","","correto","12","12","","correto","5","5","","correto","12","12","","correto","100","100","","correto","20","20","","correto","20","20","","correto","60","60","","correto","32","32","","correto","18","18","","correto","12","12","","correto","20","20","","correto","12","12","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","4","5","-1","incorreto","100","100","","correto","100","0","100","incorreto","248","248","","correto",
"LACTULOSE XAROPE 120 ML","ESF3",91.30,"2","2","","correto","3","3","","correto","6","6","","correto","8","8","","correto","12","12","","correto","15","15","","correto","11","11","","correto","15","15","","correto","3","3","","correto","3","3","","correto","3","3","","correto","2","2","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","0","","correto","3","3","","correto","3","0","3","incorreto","23","23","","correto",
"ALBENDAZOL 40 MG/ML FRASCO 10 ML","ESF3",82.61,"2","2","","correto","4","4","","correto","6","6","","correto","9","9","","correto","13","13","","correto","27","27","","correto","12","12","","correto","27","27","","correto","22","22","","correto","8","8","","correto","6","6","","correto","6","6","","correto","3","3","","correto","3","3","","correto","3","3","","correto","3","3","","correto","3","3","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","2","8","-6","incorreto","22","32","-10","incorreto","9","19","-10","incorreto","143","143","","correto",
"DEXCLORFENIRAMINA, MALEATO  2MG/5ML - SUSPENSÃO","ESF3",91.30,"3","3","","correto","5","5","","correto","7","7","","correto","11","11","","correto","12","12","","correto","19","19","","correto","12","12","","correto","19","19","","correto","4","4","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","1","-1","incorreto","4","4","","correto","-1","0","-1","incorreto","34","34","","correto",
"ALBENDAZOL 400 MG","ESF3",95.65,"1","1","","correto","2","2","","correto","2","2","","correto","4","4","","correto","6","6","","correto","14","14","","correto","5","5","","correto","14","14","","correto","25","25","","correto","2","2","","correto","4","4","","correto","4","4","","correto","5","5","","correto","5","5","","correto","5","5","","correto","5","5","","correto","5","5","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","1","2","-1","incorreto","25","25","","correto","7","7","","correto","102","102","","correto",
"DROPROPIZINA 3 MG/ML - XAROPE ADULTO","ESF3",95.65,"2","2","","correto","3","3","","correto","5","5","","correto","7","7","","correto","13","13","","correto","23","23","","correto","10","10","","correto","23","23","","correto","5","5","","correto","2","2","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","1","-1","incorreto","5","5","","correto","2","2","","correto","42","42","","correto",
"CEFALEXINA SUSPENSÃO 250 MG/ 5 ML","ESF3",91.30,"0","0","","correto","1","1","","correto","1","1","","correto","1","1","","correto","3","3","","correto","7","7","","correto","2","2","","correto","7","7","","correto","5","5","","correto","0","0","","correto","1","1","","correto","1","1","","correto","1","1","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","0","","correto","5","5","","correto","5","0","5","incorreto","16","16","","correto",
"METOPROLOL 50 MG","ESF3",86.96,"2","2","","correto","2","2","","correto","6","6","","correto","8","8","","correto","15","15","","correto","23","23","","correto","13","13","","correto","23","23","","correto","120","120","","correto","45","45","","correto","45","45","","correto","45","45","","correto","60","60","","correto","60","60","","correto","60","60","","correto","60","60","","correto","60","60","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","26","28","-2","incorreto","120","120","","correto","120","0","120","incorreto","1380","1380","","correto",
"IVERMECTINA 6 MG","ESF3",95.65,"1","1","","correto","3","3","","correto","7","7","","correto","10","10","","correto","14","14","","correto","19","19","","correto","12","12","","correto","19","19","","correto","82","82","","correto","4","4","","correto","4","4","","correto","4","4","","correto","4","4","","correto","4","4","","correto","4","4","","correto","4","4","","correto","4","4","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","3","4","-1","incorreto","82","82","","correto","9","9","","correto","175","175","","correto",
"METRONIDAZOL 100 MG/G - GEL VAGINAL","ESF3",82.61,"4","4","","correto","8","8","","correto","12","12","","correto","15","15","","correto","21","21","","correto","29","29","","correto","18","18","","correto","29","29","","correto","6","6","","correto","4","4","","correto","4","4","","correto","4","4","","correto","4","4","","correto","4","4","","correto","3","3","","correto","4","4","","correto","3","3","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","1","4","-3","incorreto","6","16","-10","incorreto","-13","0","-13","incorreto","91","91","","correto",
"METOCLOPRAMIDA 10 MG","ESF3",86.96,"0","0","","correto","1","1","","correto","2","2","","correto","4","4","","correto","8","8","","correto","18","18","","correto","6","6","","correto","18","18","","correto","60","60","","correto","0","0","","correto","60","60","","correto","40","40","","correto","20","20","","correto","20","20","","correto","20","20","","correto","30","30","","correto","20","20","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","11","12","-1","incorreto","60","60","","correto","60","0","60","incorreto","600","600","","correto",
"AMOXICILINA 500 MG - CAPSULA","ESF3",82.61,"4","4","","correto","7","7","","correto","10","10","","correto","13","13","","correto","19","19","","correto","39","39","","correto","18","18","","correto","39","39","","correto","144","144","","correto","59","59","","correto","48","48","","correto","48","48","","correto","48","48","","correto","48","48","","correto","48","48","","correto","48","48","","correto","48","48","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","45","59","-14","incorreto","144","236","-92","incorreto","-15","77","-92","incorreto","2380","2380","","correto",
"INSULINA HUMANA REGULAR 100 UI/ML - CANETA","ESF3",82.61,"2","2","","correto","5","5","","correto","6","6","","correto","7","7","","correto","14","14","","correto","25","25","","correto","11","11","","correto","25","25","","correto","9","9","","correto","5","5","","correto","6","6","","correto","4","4","","correto","6","6","","correto","3","3","","correto","2","2","","correto","3","3","","correto","2","2","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","1","6","-5","incorreto","9","24","-15","incorreto","-15","0","-15","incorreto","79","79","","correto",
"POLIVITAMINICO GTS","ESF3",91.30,"1","1","","correto","1","1","","correto","1","1","","correto","2","2","","correto","6","6","","correto","9","9","","correto","5","5","","correto","9","9","","correto","4","4","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","0","","correto","4","4","","correto","4","1","3","incorreto","16","16","","correto",
"NORIPURUM INJ","ESF3",95.65,"2","2","","correto","2","2","","correto","3","3","","correto","3","3","","correto","5","5","","correto","6","6","","correto","5","5","","correto","6","6","","correto","6","6","","correto","4","4","","correto","4","4","","correto","2","2","","correto","2","2","","correto","4","4","","correto","5","5","","correto","4","4","","correto","5","5","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","0","","correto","6","6","","correto","-16","0","-16","incorreto","24","24","","correto",
"OLEO MINERAL 100 ML","ESF3",91.30,"0","0","","correto","0","0","","correto","1","1","","correto","1","1","","correto","2","2","","correto","6","6","","correto","1","1","","correto","6","6","","correto","3","3","","correto","0","0","","correto","0","0","","correto","1","1","","correto","1","1","","correto","1","1","","correto","2","2","","correto","1","1","","correto","2","2","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","0","","correto","3","3","","correto","3","0","3","incorreto","10","10","","correto",
"VITAMINA D3 7.000 UI","ESF3",82.61,"3","3","","correto","7","7","","correto","11","11","","correto","15","15","","correto","22","22","","correto","41","41","","correto","20","20","","correto","41","41","","correto","90","90","","correto","72","72","","correto","49","49","","correto","34","34","","correto","34","34","","correto","35","35","","correto","34","34","","correto","35","35","","correto","34","34","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","28","72","-44","incorreto","90","288","-198","incorreto","-176","22","-198","incorreto","1486","1486","","correto",
"SULFAMET. +TRIMETOPRIMA  400 + 80MG","ESF3",91.30,"1","1","","correto","2","2","","correto","3","3","","correto","4","4","","correto","4","4","","correto","10","10","","correto","4","4","","correto","10","10","","correto","200","200","","correto","60","60","","correto","45","45","","correto","60","60","","correto","55","55","","correto","55","55","","correto","55","55","","correto","55","55","","correto","55","55","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","14","15","-1","incorreto","200","200","","correto","-50","0","-50","incorreto","740","740","","correto",
"DECONGEX PLUS GOTAS","ESF3",91.30,"0","0","","correto","0","0","","correto","1","1","","correto","1","1","","correto","2","2","","correto","4","4","","correto","1","1","","correto","4","4","","correto","5","5","","correto","0","0","","correto","0","0","","correto","2","2","","correto","2","2","","correto","2","2","","correto","3","3","","correto","2","2","","correto","3","3","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","0","","correto","5","5","","correto","5","0","5","incorreto","11","11","","correto",
"LEVOMEPROMAZINA 25MG","ESF3",86.96,"1","1","","correto","2","2","","correto","3","3","","correto","5","5","","correto","6","6","","correto","6","6","","correto","6","6","","correto","6","6","","correto","60","60","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","45","45","","correto","45","45","","correto","45","45","","correto","45","45","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","5","6","-1","incorreto","60","60","","correto","60","0","60","incorreto","270","270","","correto",
"DOXAZOSINA 2 MG","ESF3",82.61,"4","4","","correto","8","8","","correto","11","11","","correto","15","15","","correto","24","24","","correto","44","44","","correto","20","20","","correto","44","44","","correto","240","240","","correto","75","75","","correto","105","105","","correto","120","120","","correto","120","120","","correto","120","120","","correto","90","90","","correto","120","120","","correto","90","90","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","89","120","-31","incorreto","240","480","-240","incorreto","-270","0","-270","incorreto","4650","4650","","correto",
"FOSFATO OSELTAMIVIR 30MG - TAMIFLU","ESF3",95.65,"0","0","","correto","0","0","","correto","0","0","","correto","1","1","","correto","1","1","","correto","3","3","","correto","1","1","","correto","3","3","","correto","10","10","","correto","0","0","","correto","0","0","","correto","0","0","","correto","10","10","","correto","10","10","","correto","10","10","","correto","10","10","","correto","10","10","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","1","-1","incorreto","10","10","","correto","10","10","","correto","30","30","","correto",
"CLARITROMICINA 500 MG","ESF3",91.30,"0","0","","correto","0","0","","correto","1","1","","correto","2","2","","correto","5","5","","correto","8","8","","correto","4","4","","correto","8","8","","correto","40","40","","correto","0","0","","correto","0","0","","correto","40","40","","correto","35","35","","correto","20","20","","correto","30","30","","correto","25","25","","correto","30","30","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","4","4","","correto","40","40","","correto","40","0","40","incorreto","220","220","","correto",
"NORTRIPTILINA, CLORIDRATO 25 MG","ESF3",78.26,"2","2","","correto","5","5","","correto","8","8","","correto","11","11","","correto","18","18","","correto","29","29","","correto","15","15","","correto","29","29","","correto","140","140","","correto","105","105","","correto","90","90","","correto","50","50","","correto","60","60","","correto","60","60","","correto","40","40","","correto","60","60","","correto","40","40","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","34","105","-71","incorreto","140","420","-280","incorreto","140","0","140","incorreto","1790","1790","","correto",
"MICONAZOL, NITRATO 0,02 MG/G -  80 G CREME VAGINAL","ESF3",95.65,"2","2","","correto","3","3","","correto","5","5","","correto","6","6","","correto","6","6","","correto","10","10","","correto","6","6","","correto","10","10","","correto","2","2","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","0","","correto","2","2","","correto","-4","0","-4","incorreto","13","13","","correto",
"CARVEDILOL 12,5 MG","ESF3",86.96,"1","1","","correto","2","2","","correto","4","4","","correto","6","6","","correto","11","11","","correto","24","24","","correto","10","10","","correto","24","24","","correto","120","120","","correto","60","60","","correto","45","45","","correto","60","60","","correto","60","60","","correto","60","60","","correto","60","60","","correto","60","60","","correto","60","60","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","25","27","-2","incorreto","120","120","","correto","120","0","120","incorreto","1320","1320","","correto",
"PROMETAZINA 50 MG/ 2ML","ESF3",95.65,"0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","1","1","","correto","7","7","","correto","0","0","","correto","7","7","","correto","2","2","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","1","1","","correto","1","1","","correto","0","0","","correto","1","1","","correto","3.INATIVOS","3.INATIVOS","","correto","0","0","","correto","0","0","","correto","0","0","","correto","8","8","","correto",
"AZITROMICINA 500 MG","ESF3",95.65,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","25","25","","correto","48","48","","correto","21","21","","correto","48","48","","correto","125","125","","correto","41","41","","correto","44","44","","correto","50","50","","correto","50","50","","correto","50","50","","correto","55","55","","correto","50","50","","correto","55","55","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","55","55","","correto","220","220","","correto","-188","0","-188","incorreto","2899","2899","","correto",
"CAPTOPRIL 25 MG","ESF3",86.96,"0","0","","correto","0","0","","correto","2","2","","correto","4","4","","correto","7","7","","correto","19","19","","correto","7","7","","correto","19","19","","correto","180","180","","correto","0","0","","correto","0","0","","correto","75","75","","correto","75","75","","correto","80","80","","correto","80","80","","correto","80","80","","correto","80","80","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","31","34","-3","incorreto","180","180","","correto","180","0","180","incorreto","1650","1650","","correto",
"GUACO XAROPE - MIKANIA GLOMERATA 117,5MG/ML","ESF3",91.30,"1","1","","correto","1","1","","correto","1","1","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","0","","correto","1","1","","correto","1","0","1","incorreto","2","2","","correto",
"AMIODARONA, CLORIDRATO  200 MG","ESF3",82.61,"3","3","","correto","5","5","","correto","9","9","","correto","13","13","","correto","21","21","","correto","38","38","","correto","18","18","","correto","38","38","","correto","150","150","","correto","60","60","","correto","60","60","","correto","60","60","","correto","60","60","","correto","60","60","","correto","60","60","","correto","60","60","","correto","60","60","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","41","60","-19","incorreto","150","240","-90","incorreto","-160","0","-160","incorreto","2160","2160","","correto",
"METILFENIDATO 10 MG","ESF3",95.65,"1","1","","correto","2","2","","correto","3","3","","correto","4","4","","correto","6","6","","correto","8","8","","correto","5","5","","correto","8","8","","correto","90","90","","correto","75","75","","correto","75","75","","correto","75","75","","correto","75","75","","correto","60","60","","correto","68","68","","correto","75","75","","correto","68","68","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","9","10","-1","incorreto","90","90","","correto","90","90","","correto","510","510","","correto",
"SULFATO FERROSO 25 MG/ML - GOTAS","ESF3",82.61,"4","4","","correto","6","6","","correto","10","10","","correto","13","13","","correto","19","19","","correto","34","34","","correto","18","18","","correto","34","34","","correto","6","6","","correto","2","2","","correto","1","1","","correto","1","1","","correto","1","1","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","1","2","-1","incorreto","6","8","-2","incorreto","1","3","-2","incorreto","80","80","","correto",
"PARACETAMOL 750 MG","ESF3",82.61,"3","3","","correto","4","4","","correto","6","6","","correto","7","7","","correto","14","14","","correto","28","28","","correto","11","11","","correto","28","28","","correto","60","60","","correto","20","20","","correto","20","20","","correto","30","30","","correto","40","40","","correto","35","35","","correto","20","20","","correto","30","30","","correto","20","20","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","15","40","-25","incorreto","60","160","-100","incorreto","-410","0","-410","incorreto","790","790","","correto",
"PHOSFOENEMA 130ML","ESF3",91.30,"1","1","","correto","3","3","","correto","4","4","","correto","5","5","","correto","7","7","","correto","10","10","","correto","5","5","","correto","10","10","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","0","","correto","1","1","","correto","1","0","1","incorreto","10","10","","correto",
"BROMOPRIDA 10MG CPR","ESF3",82.61,"4","4","","correto","8","8","","correto","12","12","","correto","15","15","","correto","24","24","","correto","41","41","","correto","21","21","","correto","41","41","","correto","180","180","","correto","160","160","","correto","105","105","","correto","90","90","","correto","90","90","","correto","80","80","","correto","60","60","","correto","80","80","","correto","60","60","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","57","160","-103","incorreto","180","640","-460","incorreto","-150","310","-460","incorreto","2980","2980","","correto",
"PARACETAMOL 200 MG/ ML -  FRASCO 15 ML GOTAS","ESF3",78.26,"2","2","","correto","5","5","","correto","8","8","","correto","11","11","","correto","14","14","","correto","30","30","","correto","12","12","","correto","30","30","","correto","5","5","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","2","2","","correto","1","1","","correto","2","2","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","1","2","-1","incorreto","5","8","-3","incorreto","5","0","5","incorreto","66","66","","correto",
"TOBRAMICINA 0,3 % COLIRIO - FRASCO 5 ML","ESF3",86.96,"2","2","","correto","3","3","","correto","6","6","","correto","6","6","","correto","12","12","","correto","22","22","","correto","9","9","","correto","22","22","","correto","4","4","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","1","-1","incorreto","4","4","","correto","4","0","4","incorreto","33","33","","correto",
"CARVEDILOL 6,25 MG","ESF3",82.61,"4","4","","correto","7","7","","correto","9","9","","correto","11","11","","correto","17","17","","correto","31","31","","correto","14","14","","correto","31","31","","correto","180","180","","correto","60","60","","correto","60","60","","correto","60","60","","correto","60","60","","correto","60","60","","correto","60","60","","correto","75","75","","correto","60","60","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","45","75","-30","incorreto","180","300","-120","incorreto","90","210","-120","incorreto","2340","2340","","correto",
"AZITROMICINA SUSP. 200MG/5ML","ESF3",95.65,"3","3","","correto","4","4","","correto","5","5","","correto","7","7","","correto","8","8","","correto","22","22","","correto","7","7","","correto","22","22","","correto","6","6","","correto","2","2","","correto","3","3","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","1","1","","correto","6","6","","correto","-5","0","-5","incorreto","56","56","","correto",
"NITROFURANTOINA 100MG CAPSULA","ESF3",82.61,"3","3","","correto","6","6","","correto","9","9","","correto","13","13","","correto","21","21","","correto","32","32","","correto","18","18","","correto","32","32","","correto","175","175","","correto","56","56","","correto","42","42","","correto","28","28","","correto","56","56","","correto","56","56","","correto","56","56","","correto","56","56","","correto","56","56","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","40","56","-16","incorreto","175","224","-49","incorreto","21","70","-49","incorreto","2107","2107","","correto",
"SINVASTATINA 20MG","ESF3",95.65,"0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","7","7","","correto","0","0","","correto","7","7","","correto","90","90","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","30","30","","correto","0","0","","correto","30","30","","correto","3.INATIVOS","3.INATIVOS","","correto","0","0","","correto","0","0","","correto","0","0","","correto","300","300","","correto",
"DEXCLORFENIRAMINA + BETAMETASONA SUSP ORAL 120","ESF3",82.61,"4","4","","correto","8","8","","correto","11","11","","correto","14","14","","correto","21","21","","correto","37","37","","correto","18","18","","correto","37","37","","correto","9","9","","correto","9","9","","correto","6","6","","correto","4","4","","correto","4","4","","correto","3","3","","correto","3","3","","correto","4","4","","correto","3","3","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","2","9","-7","incorreto","9","36","-27","incorreto","-8","19","-27","incorreto","124","124","","correto",
"ACICLOVIR 200 MG CPR","ESF3",95.65,"1","1","","correto","2","2","","correto","2","2","","correto","3","3","","correto","4","4","","correto","8","8","","correto","3","3","","correto","8","8","","correto","90","90","","correto","60","60","","correto","75","75","","correto","75","75","","correto","60","60","","correto","45","45","","correto","30","30","","correto","60","60","","correto","30","30","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","6","7","-1","incorreto","90","90","","correto","15","15","","correto","360","360","","correto",
"TIBOLONA 1,25MG","ESF3",95.65,"3","3","","correto","6","6","","correto","6","6","","correto","9","9","","correto","15","15","","correto","20","20","","correto","13","13","","correto","20","20","","correto","105","105","","correto","56","56","","correto","56","56","","correto","56","56","","correto","56","56","","correto","56","56","","correto","63","63","","correto","56","56","","correto","63","63","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","22","23","-1","incorreto","105","105","","correto","70","70","","correto","1150","1150","","correto",
"NORETISTERONA 0,35MG CAIXA COM 35 CPR","ESF3",95.65,"0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","35","35","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","35","35","","correto","35","35","","correto","35","35","","correto","35","35","","correto","3.INATIVOS","3.INATIVOS","","correto","0","0","","correto","0","0","","correto","0","0","","correto","35","35","","correto",
