Medicamento,Unidade,Acerto Geral,Contagem 4 semanas (Calc),Contagem 4 semanas (Gab),Contagem 4 semanas (Dif),Contagem 4 semanas (Status),Contagem 8 semanas (Calc),Contagem 8 semanas (Gab),Contagem 8 semanas (Dif),Contagem 8 semanas (Status),Contagem 12 semanas (Calc),Contagem 12 semanas (Gab),Contagem 12 semanas (Dif),Contagem 12 semanas (Status),Contagem 16 semanas (Calc),Contagem 16 semanas (Gab),Contagem 16 semanas (Dif),Contagem 16 semanas (Status),Contagem 26 semanas (Calc),Contagem 26 semanas (Gab),Contagem 26 semanas (Dif),Contagem 26 semanas (Status),Contagem 52 semanas (Calc),Contagem 52 semanas (Gab),Contagem 52 semanas (Dif),Contagem 52 semanas (Status),Contagem ano (Calc),Contagem ano (Gab),Contagem ano (Dif),Contagem ano (Status),Contagem total (Calc),Contagem total (Gab),Contagem total (Dif),Contagem total (Status),Máximo (Calc),Máximo (Gab),Máximo (Dif),Máximo (Status),Mediana 4 semanas (Calc),Mediana 4 semanas (Gab),Mediana 4 semanas (Dif),Mediana 4 semanas (Status),Mediana 8 semanas (Calc),Mediana 8 semanas (Gab),Mediana 8 semanas (Dif),Mediana 8 semanas (Status),Mediana 12 semanas (Calc),Mediana 12 semanas (Gab),Mediana 12 semanas (Dif),Mediana 12 semanas (Status),Mediana 16 semanas (Calc),Mediana 16 semanas (Gab),Mediana 16 semanas (Dif),Mediana 16 semanas (Status),Mediana 26 semanas (Calc),Mediana 26 semanas (Gab),Mediana 26 semanas (Dif),Mediana 26 semanas (Status),Mediana 52 semanas (Calc),Mediana 52 semanas (Gab),Mediana 52 semanas (Dif),Mediana 52 semanas (Status),Mediana ano (Calc),Mediana ano (Gab),Mediana ano (Dif),Mediana ano (Status),Mediana total (Calc),Mediana total (Gab),Mediana total (Dif),Mediana total (Status),Tipo método (Calc),Tipo método (Gab),Tipo método (Dif),Tipo método (Status),Método (Calc),Método (Gab),Método (Dif),Método (Status),MetEst (Calc),MetEst (Gab),MetEst (Dif),MetEst (Status),Reposição (Calc),Reposição (Gab),Reposição (Dif),Reposição (Status),Total Geral (Calc),Total Geral (Gab),Total Geral (Dif),Total Geral (Status)
"SORO MANITOL 250ML","CAF",91.30,"4","4","","correto","6","6","","correto","8","8","","correto","11","11","","correto","15","15","","correto","18","18","","correto","14","14","","correto","18","18","","correto","6","6","","correto","3","3","","correto","4","4","","correto","3","3","","correto","3","3","","correto","3","3","","correto","3","3","","correto","3","3","","correto","3","3","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","1","1","","correto","18","18","","correto","18","16","2","incorreto","56","56","","correto",
"NORETISTERONA + ESTRADIOL 50 + 5 MG/ML  (MESIGYNA) INJETAVEL","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","90","90","","correto","23","23","","correto","11","11","","correto","11","11","","correto","11","11","","correto","11","11","","correto","11","11","","correto","11","11","","correto","11","11","","correto","11","11","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","11","11","","correto","176","176","","correto","176","0","176","incorreto","997","997","","correto",
"CETOPROFENO  50MG/ML IM (PROFENID)","CAF",91.30,"2","2","","correto","4","4","","correto","8","8","","correto","11","11","","correto","20","20","","correto","44","44","","correto","16","16","","correto","77","77","","correto","300","300","","correto","150","150","","correto","200","200","","correto","200","200","","correto","200","200","","correto","200","200","","correto","150","150","","correto","200","200","","correto","110","110","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","200","200","","correto","3200","3200","","correto","3200","300","2900","incorreto","10850","10850","","correto",
"LEVONORGESTREL 0,15MG+ETINILESTRADIOL 0,03MG- CICLO 21","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","90","90","","correto","375","375","","correto","189","189","","correto","179","179","","correto","200","200","","correto","200","200","","correto","179","179","","correto","168","168","","correto","179","179","","correto","168","168","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","200","200","","correto","3200","3200","","correto","3200","240","2960","incorreto","16619","16619","","correto",
"TALA METALICA","CAF",95.65,"0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","1","1","","correto","0","0","","correto","1","1","","correto","6","6","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","6","6","","correto","0","0","","correto","6","6","","correto","3.INATIVOS","3.INATIVOS","","correto","0","0","","correto","0","0","","correto","0","0","","correto","6","6","","correto",
"AAS - ÁCIDO ACETIL SALICILICO 100MG","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","89","89","","correto","1380","1380","","correto","885","885","","correto","976","976","","correto","1055","1055","","correto","1110","1110","","correto","1085","1085","","correto","940","940","","correto","1130","1130","","correto","890","890","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","1130","1130","","correto","18080","18080","","correto","18080","3450","14630","incorreto","79970","79970","","correto",
"BISACODIL 5MG - DULCOLAX","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","25","25","","correto","51","51","","correto","22","22","","correto","89","89","","correto","102","102","","correto","34","34","","correto","34","34","","correto","44","44","","correto","34","34","","correto","24","24","","correto","22","22","","correto","25","25","","correto","24","24","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","44","44","","correto","704","704","","correto","704","93","611","incorreto","2626","2626","","correto",
"DECONGEX PLUS GOTAS","CAF",91.30,"0","0","","correto","0","0","","correto","1","1","","correto","1","1","","correto","2","2","","correto","9","9","","correto","1","1","","correto","18","18","","correto","5","5","","correto","0","0","","correto","0","0","","correto","2","2","","correto","2","2","","correto","2","2","","correto","1","1","","correto","2","2","","correto","1","1","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","1","1","","correto","15","15","","correto","15","0","15","incorreto","32","32","","correto",
"PARACETAMOL 750 MG","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","89","89","","correto","370","370","","correto","90","90","","correto","90","90","","correto","105","105","","correto","105","105","","correto","110","110","","correto","120","120","","correto","110","110","","correto","110","110","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","120","120","","correto","1920","1920","","correto","1920","0","1920","incorreto","10769","10769","","correto",
"ALBENDAZOL 40 MG/ML FRASCO 10 ML","CAF",91.30,"3","3","","correto","6","6","","correto","10","10","","correto","14","14","","correto","23","23","","correto","46","46","","correto","20","20","","correto","76","76","","correto","28","28","","correto","13","13","","correto","11","11","","correto","10","10","","correto","10","10","","correto","9","9","","correto","8","8","","correto","10","10","","correto","8","8","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","13","13","","correto","208","208","","correto","208","53","155","incorreto","628","628","","correto",
